subject,condition,task,task_name,n_trials,n_valid_delay,mean_eeg_erd_onset_ms,std_eeg_erd_onset_ms,mean_emg_onset_ms,std_emg_onset_ms,mean_delay_ms,std_delay_ms,mean_xcorr_lag_ms,std_xcorr_lag_ms
26,free,1,Task2,10,10,-67.0,50.75431016179808,86.5,95.26410656695417,153.5,90.61042986323373,207.0,348.9641815430346
26,free,2,Task3,10,10,-46.5,80.09525578959094,102.5,79.47483878561818,149.0,113.79367293483412,76.5,353.38399793991806
27,free,0,Task1,10,9,-22.5,94.10765112359356,194.44444444444446,128.41868253759404,216.11111111111111,161.12068937045257,-188.0,345.059415173677
27,free,1,Task2,10,9,-67.77777777777777,54.26842294000316,189.0,106.97663296253066,288.8888888888889,41.61849066739565,-243.0,249.34113178535145
27,free,2,Task3,10,10,-28.0,163.29727493133498,171.0,117.0,199.0,207.19314660480447,-31.5,315.6346780694415
29,free,0,Task1,10,7,-11.428571428571429,103.53447616664722,254.0,83.21057625085888,260.7142857142857,145.63723453029672,-91.0,373.35505889166683
29,free,1,Task2,10,10,-46.5,63.52361765516822,193.5,57.88134414472422,240.0,35.4964786985977,-126.0,235.5610324310878
29,free,2,Task3,10,9,-45.0,82.12456663169947,183.0,61.48983655857283,233.88888888888889,90.33203497768595,-78.0,174.17232845661792
30,free,0,Task1,10,7,-60.0,84.55767262643882,218.0,80.8146026408594,304.2857142857143,122.01957019349021,-33.0,472.27746082149633
30,free,1,Task2,10,9,-12.222222222222221,151.03552030917007,124.5,24.743686063317245,133.33333333333334,154.91933384829667,28.0,244.72637781816655
30,free,2,Task3,10,9,63.888888888888886,121.87830400712969,130.0,32.863353450309965,67.77777777777777,114.48219442125563,211.5,368.5379899006343
31,free,0,Task1,10,4,-67.77777777777777,44.41665798068152,352.5,58.36308764964376,412.5,27.5,-158.0,312.23548805348827
31,free,1,Task2,10,9,9.0,152.27934856703322,345.55555555555554,70.76739850636042,331.1111111111111,187.04987121350192,-246.0,394.7518207684418
31,free,2,Task3,10,6,-27.5,120.70107704573311,449.375,72.56193475232038,431.6666666666667,157.84134087395765,-197.0,412.0691689510391
32,free,0,Task1,10,9,-57.22222222222222,79.62101589931835,232.0,147.7362514753911,276.1111111111111,159.8050509870938,-361.5,191.5469916234656
32,free,1,Task2,10,9,15.0,159.28660402627153,196.5,113.31482692039908,175.55555555555554,184.39758440880527,53.0,347.38451318387814
